episode,start,total_votes,average_rating
254,2006,148,8.0
255,2006,142,8.0
256,2006,146,7.9
257,2006,144,8.1
258,2006,149,8.2
259,2006,138,7.6
260,2006,138,7.8
261,2006,141,8.0
262,2006,148,8.3
263,2006,145,8.1
264,2006,145,8.1
265,2006,150,8.0
266,2006,145,7.9
267,2006,144,8.1
268,2006,146,8.1
269,2006,145,8.1
270,2006,155,8.3
271,2006,145,8.0
272,2006,151,8.2
273,2006,168,8.5
274,2006,173,8.6
275,2006,161,8.3
276,2006,158,8.3
277,2006,172,8.5
278,2006,280,9.1
279,2006,132,6.9
280,2006,131,6.6
281,2006,134,6.6
282,2006,126,6.7
283,2006,131,6.6
284,2006,143,7.9
285,2006,142,8.0
286,2006,143,8.0
287,2006,140,8.0
288,2006,143,8.2
289,2006,146,8.1
290,2006,142,8.1
291,2006,136,6.2
292,2007,134,6.0
293,2007,141,7.8
294,2007,141,8.1
295,2007,138,7.8
296,2007,151,8.2
297,2007,139,8.1
298,2007,147,8.2
299,2007,145,8.2
300,2007,203,8.7
301,2007,162,8.6
302,2007,152,8.1
303,2007,129,6.2
304,2007,158,8.4
305,2007,148,8.3
306,2007,143,8.1
307,2007,143,8.2
308,2007,149,8.4
309,2007,271,9.0
310,2007,158,8.4
311,2007,155,8.4
312,2007,273,9.0
313,2007,150,8.3
314,2007,188,8.5
315,2007,146,8.0
316,2007,184,8.5
317,2007,130,6.3
318,2007,133,6.1
319,2007,134,6.5
320,2007,140,7.9
321,2007,136,8.0
322,2007,137,7.9
323,2007,144,8.1
324,2007,140,7.9
325,2007,177,8.6
326,2007,128,6.8
327,2007,129,6.2
328,2007,129,6.4
329,2007,127,6.7
330,2007,123,6.5
331,2007,125,6.6
332,2007,124,6.6
333,2007,123,6.5
334,2007,123,6.7
335,2007,124,6.6
336,2007,133,5.6
337,2008,141,8.2
338,2008,133,7.9
339,2008,133,7.7
340,2008,130,7.8
341,2008,138,7.9
342,2008,134,7.7
343,2008,123,7.8
344,2008,128,7.6
345,2008,126,7.5
346,2008,125,7.8
347,2008,127,7.7
348,2008,128,7.9
349,2008,128,7.8
350,2008,126,7.9
351,2008,126,7.8
352,2008,128,7.8
353,2008,133,8.0
354,2008,124,7.4
355,2008,123,7.8
356,2008,123,7.8
357,2008,124,7.8
358,2008,125,7.6
359,2008,127,7.6
360,2008,125,7.8
361,2008,127,7.7
362,2008,131,7.9
363,2008,124,7.7
364,2008,129,7.3
365,2008,126,7.6
366,2008,126,7.7
367,2008,132,8.0
368,2008,131,7.8
369,2008,129,7.9
370,2008,132,7.9
371,2008,132,8.0
372,2008,143,8.3
373,2008,139,8.2
374,2008,139,8.1
375,2008,135,8.0
376,2008,156,8.3
377,2008,359,9.2
378,2008,135,7.9
379,2008,132,7.8
380,2008,152,8.4
381,2008,129,8.0
382,2008,124,6.5
383,2008,126,6.5
384,2009,125,7.4
385,2009,127,7.7
386,2009,127,7.7
387,2009,125,7.6
388,2009,124,7.8
389,2009,124,7.8
390,2009,128,7.6
391,2009,124,7.9
392,2009,133,8.0
393,2009,128,7.8
394,2009,132,7.8
395,2009,135,8.0
396,2009,194,8.7
397,2009,177,8.7
398,2009,145,8.3
399,2009,143,8.2
400,2009,176,8.5
401,2009,144,8.3
402,2009,140,8.3
403,2009,145,8.4
404,2009,189,8.8
405,2009,358,9.2
406,2009,122,6.1
407,2009,118,6.1
408,2009,130,7.7
409,2009,129,7.7
410,2009,131,7.6
411,2009,126,7.8
412,2009,129,8.0
413,2009,136,8.2
414,2009,128,8.2
415,2009,133,8.2
416,2009,132,8.1
417,2009,139,8.1
418,2009,127,7.8
419,2009,126,7.4
420,2009,127,7.7
421,2009,126,7.7
422,2009,125,7.8
423,2009,126,7.8
424,2009,125,7.7
425,2009,125,7.7
426,2009,118,6.9
427,2009,115,6.5
428,2009,116,6.6
429,2009,115,6.6
430,2009,121,7.8
431,2009,118,7.7
432,2009,122,7.9
433,2010,132,8.1
434,2010,125,7.7
435,2010,134,8.0
436,2010,139,8.1
437,2010,127,7.9
438,2010,124,7.7
439,2010,122,7.4
440,2010,128,7.5
441,2010,125,7.9
442,2010,127,8.0
443,2010,129,8.0
444,2010,127,7.9
445,2010,126,7.9
446,2010,129,8.1
447,2010,152,8.3
448,2010,124,7.8
449,2010,123,7.9
450,2010,129,8.1
451,2010,150,8.5
452,2010,123,7.9
453,2010,118,7.3
454,2010,121,6.8
455,2010,116,7.3
456,2010,118,7.3
457,2010,122,7.2
458,2010,131,6.9
459,2010,146,8.1
460,2010,154,8.2
461,2010,174,8.4
462,2010,154,8.2
463,2010,162,8.5
464,2010,150,8.3
465,2010,155,8.4
466,2010,186,8.7
467,2010,174,8.7
468,2010,158,8.6
469,2010,151,8.3
470,2010,155,8.5
471,2010,151,8.4
472,2010,153,8.3
473,2010,150,8.4
474,2010,180,8.5
475,2010,154,8.6
476,2010,158,8.4
477,2010,147,8.4
478,2010,175,8.6
479,2010,155,8.4
480,2010,179,8.6
481,2010,218,8.9
482,2011,334,9.1
483,2011,524,9.3
484,2011,285,9.0
485,2011,370,9.3
486,2011,192,8.6
487,2011,171,8.4
488,2011,223,8.7
489,2011,245,8.8
490,2011,143,8.1
491,2011,137,8.0
492,2011,117,6.2
493,2011,148,8.0
494,2011,135,7.9
495,2011,125,7.7
496,2011,124,7.8
497,2011,125,7.7
498,2011,123,7.3
499,2011,122,7.4
500,2011,121,7.7
501,2011,125,7.6
502,2011,122,7.6
503,2011,135,8.2
504,2011,130,7.8
505,2011,138,8.1
506,2011,127,7.8
507,2011,131,7.8
508,2011,128,7.4
509,2011,126,7.7
510,2011,128,7.6
511,2011,134,7.7
512,2011,127,7.7
513,2011,127,7.3
514,2011,125,7.2
515,2011,129,7.7
516,2011,162,8.4
517,2011,204,8.4
518,2011,145,7.9
519,2011,141,7.8
520,2011,142,7.7
521,2011,183,8.6
522,2011,138,8.1
523,2011,128,7.7
524,2011,127,7.4
525,2011,118,7.6
526,2011,118,7.6
527,2011,118,7.7
528,2011,122,7.4
529,2011,125,7.3
530,2012,120,7.5
531,2012,122,7.2
532,2012,121,7.4
533,2012,120,7.3
534,2012,128,7.6
535,2012,120,7.4
536,2012,120,7.7
537,2012,119,7.7
